"","x"
"1","Ameland_2016"
"2","Ameland_2018"
"3","Amsterdam_2014"
"4","Amsterdam_2016"
"5","Amsterdam_2017"
"6","Amsterdam_2018"
"7","Baarle-Nassau_2014"
"8","Baarle-Nassau_2015"
"9","Baarle-Nassau_2017"
"10","Beesel_2014"
"11","Blaricum_2014"
"12","Blaricum_2015"
"13","Blaricum_2016"
"14","Blaricum_2017"
"15","Blaricum_2018"
"16","Bloemendaal_2014"
"17","Bloemendaal_2015"
"18","Bloemendaal_2016"
"19","Bloemendaal_2017"
"20","Bloemendaal_2018"
"21","Bunnik_2016"
"22","Bunschoten_2018"
"23","Dantumadiel_2014"
"24","De Marne_2018"
"25","Diemen_2014"
"26","Dongeradeel_2018"
"27","Drimmelen_2018"
"28","Enkhuizen_2014"
"29","Haarlemmerliede en Spaarnwoude_2017"
"30","Haarlemmerliede en Spaarnwoude_2018"
"31","Heemstede_2014"
"32","Heerlen_2014"
"33","Heerlen_2015"
"34","Heerlen_2016"
"35","Heerlen_2018"
"36","Hulst_2016"
"37","Korendijk_2016"
"38","Krimpen aan den IJssel_2014"
"39","Laren (NH.)_2014"
"40","Laren (NH.)_2015"
"41","Laren (NH.)_2016"
"42","Laren (NH.)_2017"
"43","Laren (NH.)_2018"
"44","Loppersum_2014"
"45","Loppersum_2016"
"46","Loppersum_2018"
"47","Maasgouw_2016"
"48","Mill en Sint Hubert_2015"
"49","Mook en Middelaar_2014"
"50","Nunspeet_2016"
"51","Nuth_2018"
"52","Oldambt_2015"
"53","Olst-Wijhe_2016"
"54","Oud-Beijerland_2015"
"55","Pekela_2014"
"56","Pekela_2017"
"57","Pekela_2018"
"58","Putten_2017"
"59","Raalte_2016"
"60","Raalte_2017"
"61","Reimerswaal_2016"
"62","Rheden_2014"
"63","Rozendaal_2014"
"64","Rozendaal_2015"
"65","Rozendaal_2016"
"66","Rozendaal_2017"
"67","Rozendaal_2018"
"68","Schiermonnikoog_2014"
"69","Schiermonnikoog_2015"
"70","Schiermonnikoog_2016"
"71","Schiermonnikoog_2018"
"72","Schouwen-Duiveland_2014"
"73","Sluis_2014"
"74","Sluis_2015"
"75","Sluis_2016"
"76","Sluis_2017"
"77","Sluis_2018"
"78","Staphorst_2015"
"79","Staphorst_2018"
"80","Steenwijkerland_2014"
"81","Terneuzen_2018"
"82","Terschelling_2014"
"83","Terschelling_2015"
"84","Terschelling_2018"
"85","Tytsjerksteradiel_2016"
"86","Uitgeest_2014"
"87","Urk_2014"
"88","Urk_2015"
"89","Urk_2016"
"90","Urk_2017"
"91","Urk_2018"
"92","Utrecht (gemeente)_2018"
"93","Vaals_2014"
"94","Vaals_2015"
"95","Vaals_2016"
"96","Vaals_2017"
"97","Vaals_2018"
"98","Veere_2016"
"99","Vlieland_2014"
"100","Vlieland_2017"
"101","Vlieland_2018"
"102","Wassenaar_2014"
"103","Wassenaar_2015"
"104","Wassenaar_2016"
"105","Wassenaar_2017"
"106","Wassenaar_2018"
"107","Westervoort_2014"
"108","Zeewolde_2017"
"109","Aalburg_2017"
"110","Aalburg_2018"
"111","Aalten_2014"
"112","Alphen-Chaam_2014"
"113","Alphen-Chaam_2015"
"114","Appingedam_2014"
"115","Baarle-Nassau_2018"
"116","Barendrecht_2014"
"117","Borsele_2016"
"118","Brummen_2016"
"119","Brunssum_2015"
"120","Bunnik_2015"
"121","Bunnik_2017"
"122","Castricum_2014"
"123","De Marne_2017"
"124","Diemen_2015"
"125","Doesburg_2014"
"126","Doesburg_2016"
"127","Doesburg_2018"
"128","Duiven_2018"
"129","Eemnes_2017"
"130","Enkhuizen_2018"
"131","Ferwerderadiel_2014"
"132","Giessenlanden_2014"
"133","Haarlemmerliede en Spaarnwoude_2015"
"134","Heemskerk_2014"
"135","Heiloo_2017"
"136","Hulst_2014"
"137","Korendijk_2014"
"138","Leek_2016"
"139","Maassluis_2014"
"140","Marum_2015"
"141","Midden-Delfland_2018"
"142","Mill en Sint Hubert_2014"
"143","Molenwaard_2017"
"144","Neerijnen_2018"
"145","Noord-Beveland_2015"
"146","Ouder-Amstel_2015"
"147","Ouder-Amstel_2018"
"148","Renswoude_2018"
"149","Roermond_2014"
"150","Scherpenzeel_2014"
"151","Schiermonnikoog_2017"
"152","Sint Anthonis_2014"
"153","Stadskanaal_2014"
"154","Stede Broec_2016"
"155","Steenbergen_2017"
"156","Ten Boer_2014"
"157","Texel_2018"
"158","Vlieland_2015"
"159","Vlieland_2016"
"160","Westerveld_2014"
"161","Wierden_2014"
"162","Zeewolde_2015"
"163","Zoeterwoude_2014"
"164","Zoeterwoude_2017"
"165","Aalten_2018"
"166","Beemster_2014"
"167","Bladel_2018"
"168","Borne_2015"
"169","Borsele_2014"
"170","Cromstrijen_2018"
"171","Dantumadiel_2018"
"172","Dongen_2014"
"173","Edam-Volendam_2016"
"174","Emmen_2018"
"175","Epe_2016"
"176","Ermelo_2016"
"177","Geertruidenberg_2018"
"178","Grootegast_2014"
"179","Haarlemmerliede en Spaarnwoude_2014"
"180","Hardinxveld-Giessendam_2018"
"181","Haren_2018"
"182","Heerenveen_2014"
"183","Heeze-Leende_2014"
"184","Kollumerland en Nieuwkruisland_2018"
"185","Landsmeer_2016"
"186","Langedijk_2014"
"187","Leek_2018"
"188","Leerdam_2014"
"189","Lingewaal_2018"
"190","Mill en Sint Hubert_2016"
"191","Mill en Sint Hubert_2018"
"192","Montfoort_2016"
"193","Neder-Betuwe_2014"
"194","Neerijnen_2014"
"195","Noordwijkerhout_2016"
"196","Oisterwijk_2014"
"197","Onderbanken_2014"
"198","Onderbanken_2018"
"199","Oostzaan_2014"
"200","Putten_2014"
"201","Son en Breugel_2016"
"202","Son en Breugel_2018"
"203","Tiel_2014"
"204","Twenterand_2016"
"205","Vianen_2018"
"206","Weesp_2016"
"207","West Maas en Waal_2014"
"208","West Maas en Waal_2018"
"209",NA
"210",NA
"211",NA
"212",NA
"213",NA
"214",NA
"215",NA
"216",NA
"217",NA
"218",NA
"219",NA
"220",NA
"221",NA
"222",NA
"223",NA
"224",NA
"225",NA
"226",NA
"227",NA
"228",NA
"229",NA
"230",NA
"231",NA
"232",NA
"233",NA
"234",NA
"235",NA
"236",NA
"237",NA
"238",NA
"239",NA
"240",NA
"241",NA
"242",NA
"243",NA
"244",NA
"245",NA
"246",NA
"247",NA
"248",NA
"249",NA
"250",NA
"251",NA
"252",NA
"253",NA
"254",NA
"255",NA
"256",NA
"257",NA
"258",NA
"259",NA
"260",NA
"261",NA
"262",NA
"263",NA
"264",NA
"265",NA
"266",NA
"267",NA
"268",NA
"269",NA
"270",NA
"271",NA
"272",NA
"273",NA
"274",NA
"275",NA
"276",NA
"277",NA
"278",NA
"279",NA
"280",NA
"281",NA
"282",NA
"283",NA
"284",NA
"285",NA
"286",NA
"287",NA
"288",NA
"289",NA
"290",NA
"291",NA
"292",NA
"293",NA
"294",NA
"295",NA
"296",NA
"297",NA
"298",NA
"299",NA
"300",NA
"301",NA
"302",NA
"303",NA
"304",NA
"305",NA
"306",NA
"307",NA
"308",NA
"309",NA
"310",NA
"311",NA
"312",NA
"313",NA
"314",NA
"315",NA
"316",NA
"317",NA
"318",NA
"319",NA
"320",NA
"321",NA
"322",NA
"323",NA
"324",NA
"325",NA
"326",NA
"327",NA
"328",NA
"329",NA
"330",NA
"331",NA
"332",NA
"333",NA
"334",NA
"335",NA
"336",NA
"337",NA
"338",NA
"339",NA
"340",NA
"341",NA
"342",NA
"343",NA
"344",NA
"345",NA
"346",NA
"347",NA
"348",NA
"349",NA
"350",NA
"351",NA
"352",NA
"353",NA
"354",NA
"355",NA
"356",NA
"357",NA
"358",NA
"359",NA
"360",NA
"361",NA
"362",NA
"363",NA
"364",NA
"365",NA
"366",NA
"367",NA
"368",NA
"369",NA
"370",NA
"371",NA
"372",NA
"373",NA
"374",NA
"375",NA
"376",NA
"377",NA
"378",NA
"379",NA
"380",NA
"381",NA
"382",NA
"383",NA
"384",NA
"385",NA
"386",NA
"387",NA
"388",NA
"389",NA
"390",NA
"391",NA
"392",NA
"393",NA
"394",NA
"395",NA
"396",NA
"397",NA
"398",NA
"399",NA
"400",NA
"401",NA
"402",NA
"403",NA
"404",NA
"405",NA
"406",NA
"407",NA
"408",NA
"409",NA
"410",NA
"411",NA
"412",NA
"413",NA
"414",NA
"415",NA
"416",NA
"417",NA
"418",NA
"419",NA
"420",NA
"421",NA
"422",NA
"423",NA
"424",NA
"425",NA
"426",NA
"427",NA
"428",NA
"429",NA
"430",NA
"431",NA
"432",NA
"433",NA
"434",NA
"435",NA
"436",NA
"437",NA
"438",NA
"439",NA
"440",NA
"441",NA
"442",NA
"443",NA
"444",NA
"445",NA
"446",NA
"447",NA
"448",NA
"449",NA
"450",NA
"451",NA
"452",NA
"453",NA
"454",NA
"455",NA
"456",NA
"457",NA
"458",NA
"459",NA
"460",NA
"461",NA
"462",NA
"463",NA
"464",NA
"465",NA
"466",NA
"467",NA
"468",NA
"469",NA
"470",NA
"471",NA
"472",NA
"473",NA
"474",NA
"475",NA
"476",NA
"477",NA
"478",NA
"479",NA
"480",NA
"481",NA
"482",NA
"483",NA
"484",NA
"485",NA
"486",NA
"487",NA
"488",NA
"489",NA
"490",NA
"491",NA
"492",NA
"493",NA
"494",NA
"495",NA
"496",NA
"497",NA
"498",NA
"499",NA
"500",NA
"501",NA
"502",NA
"503",NA
"504",NA
"505",NA
"506",NA
"507",NA
"508",NA
"509",NA
"510",NA
"511",NA
"512",NA
"513",NA
"514",NA
"515",NA
"516",NA
"517",NA
"518",NA
"519",NA
"520",NA
"521",NA
"522",NA
"523",NA
"524",NA
"525",NA
"526",NA
"527",NA
"528",NA
"529",NA
"530",NA
"531",NA
"532",NA
"533",NA
"534",NA
"535",NA
"536",NA
"537",NA
"538",NA
"539",NA
"540",NA
"541",NA
"542",NA
"543",NA
"544",NA
"545",NA
"546",NA
"547",NA
"548",NA
"549",NA
"550",NA
"551",NA
"552",NA
"553",NA
"554",NA
"555",NA
"556",NA
"557",NA
"558",NA
"559",NA
"560",NA
"561",NA
"562",NA
"563",NA
"564",NA
"565",NA
"566",NA
"567",NA
"568",NA
"569",NA
"570",NA
"571",NA
"572",NA
"573",NA
"574",NA
"575",NA
"576",NA
"577",NA
"578",NA
"579",NA
"580",NA
"581",NA
"582",NA
"583",NA
"584",NA
"585",NA
"586",NA
"587",NA
"588",NA
"589",NA
"590",NA
"591",NA
"592",NA
"593",NA
"594",NA
"595",NA
"596",NA
"597",NA
"598",NA
"599",NA
"600",NA
"601",NA
"602",NA
"603",NA
"604",NA
"605",NA
"606",NA
"607",NA
"608",NA
"609",NA
"610",NA
"611",NA
"612",NA
"613",NA
"614",NA
"615",NA
"616",NA
"617",NA
"618",NA
"619",NA
"620",NA
"621",NA
"622",NA
"623",NA
"624",NA
"625",NA
"626",NA
"627",NA
"628",NA
"629",NA
"630",NA
"631",NA
"632",NA
"633",NA
"634",NA
"635",NA
"636",NA
"637",NA
"638",NA
"639",NA
"640",NA
"641",NA
"642",NA
"643",NA
"644",NA
"645",NA
"646",NA
"647",NA
"648",NA
"649",NA
"650",NA
"651",NA
"652",NA
"653",NA
"654",NA
"655",NA
"656",NA
"657",NA
"658",NA
"659",NA
"660",NA
"661",NA
"662",NA
"663",NA
"664",NA
"665",NA
"666",NA
"667",NA
"668",NA
"669",NA
"670",NA
"671",NA
"672",NA
"673",NA
"674",NA
"675",NA
"676",NA
"677",NA
"678",NA
"679",NA
"680",NA
"681",NA
"682",NA
"683",NA
"684",NA
"685",NA
"686",NA
"687",NA
"688",NA
"689",NA
"690",NA
"691",NA
"692",NA
"693",NA
"694",NA
"695",NA
"696",NA
"697",NA
"698",NA
"699",NA
"700",NA
"701",NA
"702",NA
"703",NA
"704",NA
"705",NA
"706",NA
"707",NA
"708",NA
"709",NA
"710",NA
"711",NA
"712",NA
"713",NA
"714",NA
"715",NA
"716",NA
"717",NA
"718",NA
"719",NA
"720",NA
"721",NA
"722",NA
"723",NA
"724",NA
"725",NA
"726",NA
"727",NA
"728",NA
"729",NA
"730",NA
"731",NA
"732",NA
"733",NA
"734",NA
"735",NA
"736",NA
"737",NA
"738",NA
"739",NA
"740",NA
"741",NA
"742",NA
"743",NA
"744",NA
"745",NA
"746",NA
"747",NA
"748",NA
"749",NA
"750",NA
"751",NA
"752",NA
"753",NA
"754",NA
"755",NA
"756",NA
"757",NA
"758",NA
"759",NA
"760",NA
"761",NA
"762",NA
"763",NA
"764",NA
"765",NA
"766",NA
"767",NA
"768",NA
"769",NA
"770",NA
"771",NA
"772",NA
"773",NA
"774",NA
"775",NA
"776",NA
"777",NA
"778",NA
"779",NA
"780",NA
"781",NA
"782",NA
"783",NA
"784",NA
"785",NA
"786",NA
"787",NA
"788",NA
"789",NA
"790",NA
"791",NA
"792",NA
"793",NA
"794",NA
"795",NA
"796",NA
"797",NA
"798",NA
"799",NA
"800",NA
"801",NA
"802",NA
"803",NA
"804",NA
"805",NA
"806",NA
"807",NA
"808",NA
"809",NA
"810",NA
"811",NA
"812",NA
"813",NA
"814",NA
"815",NA
"816",NA
"817",NA
"818",NA
"819",NA
"820",NA
"821",NA
"822",NA
"823",NA
"824",NA
"825",NA
"826",NA
"827",NA
"828",NA
"829",NA
"830",NA
"831",NA
"832",NA
"833",NA
"834",NA
"835",NA
"836",NA
"837",NA
"838",NA
"839",NA
"840",NA
"841",NA
"842",NA
"843",NA
"844",NA
"845",NA
"846",NA
"847",NA
"848",NA
"849",NA
"850",NA
"851",NA
"852",NA
"853",NA
"854",NA
"855",NA
"856",NA
"857",NA
"858",NA
"859",NA
"860",NA
"861",NA
"862",NA
"863",NA
"864",NA
"865",NA
"866",NA
"867",NA
"868",NA
"869",NA
"870",NA
"871",NA
"872",NA
"873",NA
"874",NA
"875",NA
"876",NA
"877",NA
"878",NA
"879",NA
"880",NA
"881",NA
"882",NA
"883",NA
"884",NA
"885",NA
"886",NA
"887",NA
"888",NA
"889",NA
"890",NA
"891",NA
"892",NA
"893",NA
"894",NA
"895",NA
"896",NA
"897",NA
"898",NA
"899",NA
"900",NA
"901",NA
"902",NA
"903",NA
"904",NA
"905",NA
"906",NA
"907",NA
"908",NA
"909",NA
"910",NA
"911",NA
"912",NA
"913",NA
"914",NA
"915",NA
"916",NA
"917",NA
"918",NA
"919",NA
"920",NA
"921",NA
"922",NA
"923",NA
"924",NA
"925",NA
"926",NA
"927",NA
"928",NA
"929",NA
"930",NA
"931",NA
"932",NA
"933",NA
"934",NA
"935",NA
"936",NA
"937",NA
"938",NA
"939",NA
"940",NA
"941",NA
"942",NA
"943",NA
"944",NA
"945",NA
"946",NA
"947",NA
"948",NA
"949",NA
"950",NA
"951",NA
"952",NA
"953",NA
"954",NA
"955",NA
"956",NA
"957",NA
"958",NA
"959",NA
"960",NA
"961",NA
"962",NA
"963",NA
"964",NA
"965",NA
"966",NA
"967",NA
"968",NA
"969",NA
"970",NA
"971",NA
"972",NA
"973",NA
"974",NA
"975",NA
"976",NA
"977",NA
"978",NA
"979",NA
"980",NA
"981",NA
"982",NA
"983",NA
"984",NA
"985",NA
"986",NA
"987",NA
"988",NA
"989",NA
"990",NA
"991",NA
"992",NA
"993",NA
"994",NA
"995",NA
"996",NA
"997",NA
"998",NA
"999",NA
"1000",NA
"1001",NA
"1002",NA
"1003",NA
"1004",NA
"1005",NA
"1006",NA
"1007",NA
"1008",NA
"1009",NA
"1010",NA
"1011",NA
"1012",NA
"1013",NA
"1014",NA
"1015",NA
"1016",NA
"1017",NA
"1018",NA
"1019",NA
"1020",NA
"1021",NA
"1022",NA
"1023",NA
"1024",NA
"1025",NA
"1026",NA
"1027",NA
"1028",NA
"1029",NA
"1030",NA
"1031",NA
"1032",NA
"1033",NA
"1034",NA
"1035",NA
"1036",NA
"1037",NA
"1038",NA
"1039",NA
"1040",NA
"1041",NA
"1042",NA
"1043",NA
"1044",NA
"1045",NA
"1046",NA
"1047",NA
"1048",NA
"1049",NA
"1050",NA
"1051",NA
"1052",NA
"1053",NA
"1054",NA
"1055",NA
"1056",NA
"1057",NA
"1058",NA
"1059",NA
"1060",NA
"1061",NA
"1062",NA
"1063",NA
"1064",NA
"1065",NA
"1066",NA
"1067",NA
"1068",NA
"1069",NA
"1070",NA
"1071",NA
"1072",NA
"1073",NA
"1074",NA
"1075",NA
"1076",NA
"1077",NA
"1078",NA
"1079",NA
"1080","Sint Anthonis_2016"
